# Sensor Rue 16 Novembre شارع 16 نوفمبر, Rabat, Morocco (Citizen Science project sensor.community/90796)
# https://aqicn.org/station/@518986/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-12-22T00:00:00.000Z,0.95,7.75,2.15,1.83,2.67,0.897,195
2024-12-23T00:00:00.000Z,0.1,49.13,1.23,0.9,2.13,6.483,559
2024-12-24T00:00:00.000Z,1.42,4.68,2.29,1.84,2.73,0.819,213
2025-01-06T00:00:00.000Z,2.42,19.48,9.73,7.75,14.3,4.421,123
2025-01-07T00:00:00.000Z,1.5,10.27,3.22,2.7,3.92,1.449,553
2025-01-08T00:00:00.000Z,3.7,29.52,6.49,5.13,13.7,6.729,578
2025-01-09T00:00:00.000Z,4.34,46.67,11.95,7.25,21.8,11.091,555
2025-01-10T00:00:00.000Z,2.52,34.17,13.9,6.28,24.83,9.145,571
2025-01-11T00:00:00.000Z,2.88,18.55,6.7,5.55,8.43,2.535,567
2025-01-12T00:00:00.000Z,1.25,18.92,4.63,2.88,6,2.334,567
2025-01-13T00:00:00.000Z,1.9,23.75,7.27,5.18,10.3,3.866,522
2025-01-14T00:00:00.000Z,0.8,4.72,1.77,1.52,2.13,0.573,394
2025-01-15T00:00:00.000Z,1,6.43,1.9,1.58,2.63,1.067,575
2025-01-16T00:00:00.000Z,1.14,13.13,3.3,2.52,4.57,1.493,576
2025-01-17T00:00:00.000Z,1.27,21.27,5.43,2.67,7.63,3.791,566
2025-01-18T00:00:00.000Z,1.88,36.78,4.22,3.3,5.5,4.222,561
2025-01-19T00:00:00.000Z,3,32.75,5.46,4.8,10.21,4.4,564
2025-01-20T00:00:00.000Z,2.45,16.25,7.95,5.45,10.98,3.352,572
2025-01-21T00:00:00.000Z,1.98,8.48,3.67,2.95,4.63,1.323,547
2025-01-22T00:00:00.000Z,1.63,13.75,5.28,3.89,6.18,1.549,565
2025-01-23T00:00:00.000Z,0.95,11.18,2.6,1.7,3.76,2.263,561
2025-01-24T00:00:00.000Z,2.13,22.85,6.15,4.13,8.9,3.351,570
2025-01-25T00:00:00.000Z,2.45,29.75,11.06,8.05,15.68,6.655,530
2025-01-26T00:00:00.000Z,4.43,32.33,14.43,7.7,17.77,7.371,211
2025-01-27T00:00:00.000Z,2.88,44.05,12.17,6,19.77,11.008,478
2025-01-28T00:00:00.000Z,2.54,17.63,6.75,3.97,8.69,2.95,585
2025-01-29T00:00:00.000Z,2.13,39.4,3.75,3.2,4.8,3.023,581
2025-01-30T00:00:00.000Z,1.27,9.9,3.91,3.2,4.63,1.183,422
2025-01-31T00:00:00.000Z,1.3,8.63,3.26,2.6,4.51,1.427,432
2025-02-01T00:00:00.000Z,1,6.22,2.25,1.63,2.75,0.936,313
2025-02-02T00:00:00.000Z,1.05,34.4,7.14,3.95,14.55,6.956,490
2025-02-03T00:00:00.000Z,1.27,21.08,2.88,2.29,3.83,5.061,578
2025-02-04T00:00:00.000Z,0.8,29.65,3.4,2.6,4.7,2.278,571
2025-02-05T00:00:00.000Z,0.8,13.15,2.29,1.66,3.07,1.589,545
2025-02-06T00:00:00.000Z,1.95,10.27,5.05,4.15,6.13,1.476,547
2025-02-07T00:00:00.000Z,1.6,16.98,3.63,2.63,5.44,2.185,532
2025-02-08T00:00:00.000Z,1.08,25.35,7.8,3.9,10.46,4.99,509
2025-02-09T00:00:00.000Z,0.8,24.48,4.05,1.75,10.29,5.578,560
2025-02-10T00:00:00.000Z,2.13,12.85,4.84,3.55,6.2,2.292,560
2025-02-11T00:00:00.000Z,1.4,6.8,2.9,2.4,4,1.243,283
2025-02-12T00:00:00.000Z,1.3,13.05,6.69,3.42,9.47,3.383,504
2025-02-13T00:00:00.000Z,0.8,50.7,2.15,1.8,3.22,4.71,492
2025-02-14T00:00:00.000Z,2.29,17.2,3.78,3.28,4.9,2.187,298
2025-02-15T00:00:00.000Z,1.4,28.73,3.3,2.2,7.6,4.996,435
2025-02-16T00:00:00.000Z,0.55,18.63,2.7,1.95,3.87,2.011,333
2025-02-17T00:00:00.000Z,1.9,12.65,4.65,2.97,7.03,2.53,431
2025-02-18T00:00:00.000Z,0.32,15.27,3.54,1.5,5.39,2.369,516
2025-02-19T00:00:00.000Z,0.6,20.52,6,3.85,7.03,2.856,527
2025-02-20T00:00:00.000Z,1.58,50.53,6.5,3.25,9.69,5.042,557
2025-02-21T00:00:00.000Z,6.43,103.25,17.2,12.68,33.08,14.45,537
2025-02-22T00:00:00.000Z,2,45.15,12.17,6.09,29.82,12.787,572
2025-02-23T00:00:00.000Z,1.2,27.25,2.97,2.35,3.79,2.981,580
2025-02-24T00:00:00.000Z,1.1,23.6,2.83,2.27,3.8,2.341,570
2025-02-25T00:00:00.000Z,2.02,38.6,4.96,3.99,5.93,2.708,560
2025-02-26T00:00:00.000Z,1.1,15.05,4.55,2.29,10.49,4.183,537
2025-02-27T00:00:00.000Z,1.4,52.8,5.87,2.5,10.6,8.994,396
2025-02-28T00:00:00.000Z,3.5,11.9,6.15,4.71,8.64,2.151,96
2025-03-10T00:00:00.000Z,2.35,7.53,4.18,3.79,4.63,0.881,177
2025-03-11T00:00:00.000Z,1.08,26.38,3.72,2.47,7.34,4.64,544
2025-03-12T00:00:00.000Z,2.5,22.4,6.59,4.62,10.39,4.143,568
2025-03-13T00:00:00.000Z,1.38,33.79,4.13,3.01,4.97,2.81,352
2025-03-14T00:00:00.000Z,0.98,11.4,3.15,2.25,4.13,1.979,217
2025-03-15T00:00:00.000Z,3.63,6.82,4.37,3.92,4.72,1.041,6
2025-03-18T00:00:00.000Z,1.6,5.13,3.1,2.72,3.5,0.685,67
2025-03-19T00:00:00.000Z,2.58,13.43,4.9,3.83,6.43,1.94,560
2025-03-20T00:00:00.000Z,0.5,9.35,3,2.1,4.3,1.62,523
2025-03-21T00:00:00.000Z,0.6,4.8,1.92,1.5,2.38,0.641,585
2025-03-22T00:00:00.000Z,0.75,6.45,2.22,1.6,2.9,0.895,589
2025-03-23T00:00:00.000Z,1.05,6.22,2.09,1.7,2.62,0.812,592
2025-03-24T00:00:00.000Z,0.4,4.3,1.4,1.02,1.91,0.68,584
2025-03-25T00:00:00.000Z,0.32,5.53,1.2,0.95,1.63,0.709,575
2025-03-26T00:00:00.000Z,0.6,4.7,1.6,1.3,2.04,0.567,578
2025-03-27T00:00:00.000Z,1,4.43,2,1.8,2.42,0.511,219
2025-03-28T00:00:00.000Z,0.6,5.47,1.8,1.4,2.64,0.948,420
2025-03-29T00:00:00.000Z,1.1,7.2,2.92,2.25,3.55,1.172,494
2025-03-30T00:00:00.000Z,1.12,7.25,4.32,3.3,5.13,1.371,346
2025-03-31T00:00:00.000Z,1.1,25.6,3.49,2.72,8.43,4.526,514
2025-04-01T00:00:00.000Z,2.04,6.38,4.37,3.85,5.03,0.911,200
2025-04-02T00:00:00.000Z,0.4,4.32,1.1,0.8,1.6,0.832,176
2025-04-03T00:00:00.000Z,0.6,6,1.7,1.2,2.45,1.18,559
2025-04-04T00:00:00.000Z,0.82,5.63,2.35,1.83,3.13,0.863,575
2025-04-05T00:00:00.000Z,0.5,4.4,1.9,1.12,2.6,0.863,521
2025-04-06T00:00:00.000Z,0.73,5.35,1.45,1.25,1.75,0.579,333
2025-04-07T00:00:00.000Z,1,9.32,3,1.91,4.04,1.273,293
2025-04-08T00:00:00.000Z,1.14,11.43,3.29,2.6,3.99,1.313,564
2025-04-09T00:00:00.000Z,1.83,34.97,8.93,5.64,12.35,8.501,520
2025-04-10T00:00:00.000Z,2.42,20.6,9.57,6.78,15,4.656,572
2025-04-11T00:00:00.000Z,2,12.73,4.09,3.53,4.84,1.197,570
2025-04-12T00:00:00.000Z,2.1,12.7,4,3.35,4.9,1.178,571
2025-04-13T00:00:00.000Z,1,9.43,2.83,1.85,4.09,1.762,543
2025-04-14T00:00:00.000Z,0.98,11.15,3.6,1.84,7.21,2.955,581
2025-04-15T00:00:00.000Z,0.5,4.3,1.3,1,1.73,0.593,561
2025-04-16T00:00:00.000Z,0.43,4.18,1.1,0.85,1.48,0.521,540
2025-04-17T00:00:00.000Z,0.5,8.57,1.3,1,1.63,0.574,570
2025-04-18T00:00:00.000Z,0.3,3.75,1.45,0.85,2.1,0.715,567
2025-04-19T00:00:00.000Z,0.4,17.39,1.27,1,1.58,2.434,502
2025-04-20T00:00:00.000Z,0.3,6.2,1.02,0.85,1.3,0.839,544
2025-04-21T00:00:00.000Z,0.3,21.05,1.25,1.05,1.55,1.118,561
2025-04-22T00:00:00.000Z,0.7,4.57,1.52,1.23,1.9,0.559,547
2025-04-23T00:00:00.000Z,0.9,33.47,2.35,1.83,3.04,4.306,569
2025-04-24T00:00:00.000Z,1.9,19.35,4.38,3.05,7.65,3.68,570
2025-04-25T00:00:00.000Z,1.3,41.17,3.3,2.8,12.5,10.325,575
2025-04-26T00:00:00.000Z,1.5,4.88,2.45,2.15,2.88,0.607,577
2025-04-27T00:00:00.000Z,1.38,9.15,3.5,2.8,4.65,1.415,556
2025-04-28T00:00:00.000Z,3.28,15.43,5.72,4.82,9.35,3.058,561
2025-04-29T00:00:00.000Z,0.6,12.88,2.15,1.5,5.12,2.045,565
2025-04-30T00:00:00.000Z,0.35,12.93,1.23,0.87,2.08,2.015,565
2025-05-01T00:00:00.000Z,0.56,11.48,1.35,1.1,1.67,0.98,554
2025-05-02T00:00:00.000Z,0.6,7.82,1.55,1.2,2.15,1.212,519
2025-05-03T00:00:00.000Z,1,19.7,1.83,1.55,2.2,2.653,414
2025-05-04T00:00:00.000Z,0.4,7.7,1.42,0.9,3.44,1.607,493
2025-05-05T00:00:00.000Z,0.5,6.03,1.05,0.9,1.5,0.52,430
2025-05-06T00:00:00.000Z,0.6,3.42,1.58,1.21,1.98,0.507,561
2025-05-07T00:00:00.000Z,0.7,6.1,1.9,1.39,3.72,1.283,524
2025-05-08T00:00:00.000Z,0.8,5.8,1.98,1.6,2.42,0.82,569
2025-05-09T00:00:00.000Z,0.2,4.25,1.76,1.02,2.7,0.944,546
2025-05-10T00:00:00.000Z,0.1,6.3,1.1,0.6,3.3,1.556,565
2025-05-11T00:00:00.000Z,0.5,11,1.33,1.05,1.73,0.899,566
2025-05-12T00:00:00.000Z,0.77,19.88,1.5,1.17,2.04,1.549,557
2025-05-13T00:00:00.000Z,0.47,2.38,1.05,0.9,1.2,0.306,554
2025-05-14T00:00:00.000Z,0.4,17.89,1,0.75,1.67,1.313,573
2025-05-15T00:00:00.000Z,0.6,4.5,1.45,1,2,0.711,549
2025-05-16T00:00:00.000Z,0.6,6.78,1.55,1.27,2.17,0.955,550
2025-05-17T00:00:00.000Z,1.3,11,4.7,2.8,6.82,2.161,499
2025-05-18T00:00:00.000Z,0.8,7.72,1.5,1.33,1.8,0.636,384
2025-05-19T00:00:00.000Z,0.5,6.4,1.08,0.9,1.38,0.467,441
2025-05-20T00:00:00.000Z,0.75,4.68,1.8,1.48,2.29,0.626,569
2025-05-21T00:00:00.000Z,2.33,14.3,3.83,3.22,5,1.47,531
2025-05-22T00:00:00.000Z,1.75,24.08,3.54,2.72,7.84,4.848,556
2025-05-23T00:00:00.000Z,1.95,20.17,3.41,3,4.17,1.582,552
2025-05-24T00:00:00.000Z,1.3,15.35,3.54,2.4,4.4,1.535,564
2025-05-25T00:00:00.000Z,1.17,11.07,2.8,2.02,3.6,1.086,565
2025-05-26T00:00:00.000Z,1.55,14.13,2.92,2.4,4.12,1.314,549
2025-05-27T00:00:00.000Z,1.95,8,3.3,2.72,4.05,1.018,555
2025-05-28T00:00:00.000Z,0.7,6.88,4.25,3,5.07,1.471,528
2025-05-29T00:00:00.000Z,0.6,4.78,2.02,1.4,2.63,0.825,550
2025-05-30T00:00:00.000Z,0.93,25.13,8.82,7.54,11.62,4.858,493
2025-05-31T00:00:00.000Z,5.57,21.77,8.69,7.02,12.93,3.851,545
2025-06-01T00:00:00.000Z,2.85,19,6.5,4.22,12.25,4.372,556
2025-06-02T00:00:00.000Z,2.2,15.57,4.8,3.83,7.47,2.898,538
2025-06-03T00:00:00.000Z,0.9,24.75,3.06,1.5,6.07,3.445,538
2025-06-04T00:00:00.000Z,0.5,3.65,1.6,1.3,2.13,0.576,559
2025-06-05T00:00:00.000Z,0.9,5.65,2.38,1.98,2.97,0.776,564
2025-06-06T00:00:00.000Z,1.77,11.65,3,2.7,3.4,0.779,550
2025-06-07T00:00:00.000Z,1.38,11.9,2.97,2.29,4,1.356,553
2025-06-08T00:00:00.000Z,1.9,10.7,3.97,3.42,4.7,1.052,541
2025-06-09T00:00:00.000Z,2.33,31.9,5.68,4.2,16.77,8.186,526
2025-06-10T00:00:00.000Z,3.72,10.05,6.47,5.82,7.05,1.024,534
2025-06-11T00:00:00.000Z,4.05,8.48,5.6,5.12,6.1,0.681,548
2025-06-12T00:00:00.000Z,0.7,12.68,5.97,1.95,8.88,3.705,473
2025-06-13T00:00:00.000Z,1.1,4.57,2.2,1.8,2.6,0.631,540
2025-06-14T00:00:00.000Z,2.42,7.78,4.25,3.7,5.22,1.071,541
2025-06-15T00:00:00.000Z,2.7,7.05,4,3.42,4.79,0.85,353
2025-06-16T00:00:00.000Z,3,15.18,4.32,3.83,5.85,2.71,414
2025-06-17T00:00:00.000Z,4.97,19.77,8.9,6.93,11.3,3.123,534
2025-06-18T00:00:00.000Z,2.5,12.95,8.13,6.7,9.49,1.908,496
2025-06-19T00:00:00.000Z,1.55,11.43,5.6,4.75,6.88,1.842,503
2025-06-20T00:00:00.000Z,5.13,16.57,7.35,6.63,9.88,2.4,546
2025-06-21T00:00:00.000Z,3.1,93.6,4.7,4.09,5.57,5.682,538
2025-06-22T00:00:00.000Z,1.42,7.9,3.41,2.47,4.2,1.159,550
2025-06-23T00:00:00.000Z,1.33,4.55,2.35,2.02,2.8,0.564,539
2025-06-24T00:00:00.000Z,1.1,4.97,1.9,1.7,2.2,0.554,555
2025-06-25T00:00:00.000Z,0.7,4.07,1.58,1.23,2.1,0.655,556
2025-06-26T00:00:00.000Z,1.2,11.98,3.23,2.54,4.09,1.064,528
2025-06-27T00:00:00.000Z,1.2,10.05,4.59,3.17,5.5,1.682,498
2025-06-28T00:00:00.000Z,1.1,12.05,4.09,3,4.93,1.957,486
2025-06-29T00:00:00.000Z,3.1,14.9,6.77,4.59,8.4,2.157,534
2025-06-30T00:00:00.000Z,2.8,208.75,5.7,4.79,6.82,13.284,388
2025-07-01T00:00:00.000Z,2.5,42.9,9.16,5.7,21.32,10.477,476
2025-07-02T00:00:00.000Z,3.45,34.95,6.9,4.97,15.32,8.92,554
2025-07-03T00:00:00.000Z,2.9,23.98,11.23,4.15,18.6,7.071,565
2025-07-04T00:00:00.000Z,2.29,19.52,6.82,3.5,10.64,4.067,577
2025-07-05T00:00:00.000Z,1.6,4.78,2.5,2.22,2.88,0.527,561
2025-07-06T00:00:00.000Z,1.6,5.47,2.7,2.2,3.7,0.846,518
2025-07-07T00:00:00.000Z,2.42,8.3,3.92,3.33,4.88,0.947,571
2025-07-08T00:00:00.000Z,1.67,10.52,3.24,2.52,5.14,2.208,524
2025-07-09T00:00:00.000Z,1.7,12.38,2.67,2.27,3.22,0.819,547
2025-07-10T00:00:00.000Z,0.9,4.2,2.42,1.9,2.88,0.717,559
2025-07-11T00:00:00.000Z,0.52,3.28,0.98,0.82,1.2,0.352,544
2025-07-12T00:00:00.000Z,0.5,4.57,1.02,0.9,1.35,0.501,537
2025-07-13T00:00:00.000Z,0.75,7.57,1.52,1.3,1.88,0.724,520
2025-07-14T00:00:00.000Z,1.27,5.2,2.45,2.08,3.03,0.762,549
2025-07-15T00:00:00.000Z,1.5,8.43,3.2,2.4,4,1.395,522
2025-07-16T00:00:00.000Z,1.7,9.75,3.55,2.95,4.32,1.602,491
2025-07-17T00:00:00.000Z,3.8,14.07,5.56,4.88,7.06,2.101,556
2025-07-18T00:00:00.000Z,1.58,14.88,4.3,3.28,6.93,2.946,562
2025-07-19T00:00:00.000Z,1.23,3.78,2.02,1.8,2.33,0.414,555
2025-07-20T00:00:00.000Z,1.4,5.95,3.2,2.35,3.63,0.827,559
2025-07-21T00:00:00.000Z,0.8,5.3,1.75,1.4,2.38,0.918,561
2025-07-22T00:00:00.000Z,0.88,3.85,1.97,1.7,2.22,0.396,548
2025-07-23T00:00:00.000Z,1.52,6.1,2.8,2.27,3.63,0.848,562
2025-07-24T00:00:00.000Z,2.75,16.77,4.5,4.03,5.07,1.668,552
2025-07-25T00:00:00.000Z,1.98,9.27,4.93,3.9,6.03,1.42,554
2025-07-26T00:00:00.000Z,3.25,28.9,9.27,5.93,12.7,5.274,554
2025-07-27T00:00:00.000Z,3.6,27.55,12.85,5.78,18.63,6.51,563
2025-07-28T00:00:00.000Z,2.7,22.7,4.2,3.51,5.57,3.986,557
2025-07-29T00:00:00.000Z,2.04,16.45,5.35,3.42,8.52,3.382,568
2025-07-30T00:00:00.000Z,2.2,10.3,3.34,2.97,4.3,1.046,564
2025-07-31T00:00:00.000Z,3.13,18.89,6.04,4.78,9.07,4.192,556
2025-08-01T00:00:00.000Z,2.92,23.77,5.62,4.65,7.15,3.229,566
2025-08-02T00:00:00.000Z,3.67,16.5,5.88,4.93,6.85,2.645,567
2025-08-03T00:00:00.000Z,3,11.55,4.72,3.9,5.53,1.224,553
2025-08-04T00:00:00.000Z,3.08,15.55,5.43,4.5,6.82,2.226,542
2025-08-05T00:00:00.000Z,3.78,12.57,5.6,4.88,6.9,1.591,547
2025-08-06T00:00:00.000Z,4.68,17.48,6.6,5.8,8.03,1.995,517
2025-08-07T00:00:00.000Z,3.95,7.47,5.15,4.8,5.67,0.659,545
2025-08-08T00:00:00.000Z,1.77,8.38,3.6,2.95,4.28,1.045,553
2025-08-09T00:00:00.000Z,3.2,24.88,5.59,4.67,10.49,4.454,548
2025-08-10T00:00:00.000Z,5.7,19.3,11.09,9.1,13.62,2.905,548
2025-08-11T00:00:00.000Z,3.55,21,7.82,4.82,12.52,4.214,551
2025-08-12T00:00:00.000Z,2.95,12.07,7.18,5.18,8.6,2.119,507
2025-08-13T00:00:00.000Z,4.13,47.97,7.5,5.97,10.09,9.42,528
2025-08-14T00:00:00.000Z,6.3,33.45,15.24,9.13,25.63,8.503,508
2025-08-15T00:00:00.000Z,3.97,17.82,6.78,5.15,9.6,3.246,467
2025-08-16T00:00:00.000Z,3.5,18.98,7.55,5.67,11.19,3.402,525
2025-08-17T00:00:00.000Z,4.7,14.48,7.8,6.47,9.19,1.736,547
2025-08-18T00:00:00.000Z,4.72,17.45,7.02,6.25,11.69,3.228,528
2025-08-19T00:00:00.000Z,1.7,8.69,3.8,2.65,4.7,1.729,543
2025-08-20T00:00:00.000Z,1.3,18.7,2.88,2.39,3.38,1.293,529
2025-08-21T00:00:00.000Z,1.42,7.07,3.49,2.78,4.9,1.284,344
2025-08-22T00:00:00.000Z,2.29,9.19,4.63,4.13,5.3,1.326,355
2025-08-23T00:00:00.000Z,4.32,12.5,7.95,6.92,9.3,1.446,552
2025-08-24T00:00:00.000Z,4.38,18.38,6.7,5.78,7.5,1.988,543
2025-08-25T00:00:00.000Z,3.55,15.18,6.35,4.76,11.3,3.362,552
2025-08-26T00:00:00.000Z,2.63,11.3,5.18,3.78,6.63,1.79,538
